icn_index,icn_name,icn_domain
69,Caudate,SC
53,Subthalamus,SC
98,Putamen,SC
99,Caudate,SC
45,Thalamus,SC
21,STG,AU
56,MTG,AU
3,PoCG,SM
9,L-PoCG,SM
2,ParaCL,SM
11,R-PoCG,SM
27,SPL,SM
54,ParaCL,SM
66,PreCG,SM
80,SPL,SM
72,PoCG,SM
16,CalcarineG,VIS
5,MOG,VIS
62,MTG,VIS
15,Cuneus,VIS
12,R-MOG,VIS
93,FusiformG,VIS
20,IOG,VIS
8,LingualG,VIS
77,MTG,VIS
68,IPL,CC
33,Insula,CC
43,SMFG,CC
70,IFG,CC
61,R-IFG,CC
55,MiFG,CC
63,IPL,CC
79,R-IPL,CC
84,SMA,CC
96,SFG,CC
88,MiFG,CC
48,HiPP,CC
81,L-IPL,CC
37,MCC,CC
67,IFG,CC
38,MiFG,CC
83,HiPP,CC
32,Precuneus,DM
40,Precuneus,DM
23,ACC,DM
71,PCC,DM
17,ACC,DM
51,Precuneus,DM
94,PCC,DM
13,CB,CB
18,CB,CB
4,CB,CB
7,CB,CB